form	lemma	POS	morph
དུས་སྦྱོར་	དུས་སྦྱོར་	NOUN
གཡུ་ཐོག་	གཡུ་ཐོག་	OTHER
དགྱེས་པ་	དགྱེས་པ་	VERB
འི་	གི་	PART
མཆོད་	མཆོད་	VERB
སྤྲིནགདུགས་		NON_WORD
དཀ་	དཀའ་	VERB
ར་	ལ་	PART
སྒྲོལ་མ་	སྒྲོལ་མ་	PROPN
ས་	གིས་	PART
བརྩམས་	བརྩམས་	VERB
།		PUNCT
མཚོ་སྔོན་	མཚོ་སྔོན་	PROPN
མི་རིགས་	མི་རིགས་	NOUN
དཔེ་སྐྲུན་	དཔེ་སྐྲུན་	OTHER
ཁང་	ཁང་	NOUN
།		PUNCT
དཔྱད་	དཔྱད་	VERB
གསུམ་	གསུམ་	NUM
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
དག་པ་	དག་པ་	VERB
འི་	གི་	PART
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
ཡི་	གིས་	PART
། །		PUNCT
ཉེ་	ཉེ་	NUM
བཅིངས་	བཅིངས་	VERB
འཆི་མེད་	འཆི་མེད་	NOUN
གྲུབ་པ་	གྲུབ་པ་	VERB
འི་	གི་	PART
ཨ་	ཨ་	X
མྲྀ་		NON_WORD
ཏ་	ཏ་	OTHER
། །		PUNCT
དྲུག་	དྲུག་	NUM
ལྡན་	ལྡན་	VERB
ཁམས་	ཁམས་	NOUN
ཀྱི་	གི་	PART
བྱ་བ་	བྱ་བ་	VERB
ར་	ལ་	PART
ཞུགས་པ་	ཞུགས་པ་	VERB
འི་	གི་	PART
ཚེ་	ཚེ་	NOUN
། །		PUNCT
ལྕགས་	ལྕགས་	NOUN
ལ་	ལ་	PART
གསེར་འགྱུར་	གསེར་འགྱུར་	NOUN
རྩི་	རྩི་	NOUN
བཞིན་	བཞིན་	NOUN
བྱེད་	བྱེད་	VERB
འདི་	འདི་	DET
མཚའ་	མཚའ་	VERB
། །		PUNCT
མཚོ་སྔོན་	མཚོ་སྔོན་	PROPN
སློབ་	སློབ་	VERB
ཆེན་	ཆེན་	NO_POS
བོད་ལུགས་	བོད་ལུགས་	NOUN
གསོ་བ་	གསོ་བ་	VERB
རིག་པ་	རིག་པ་	VERB
འི་	གི་	PART
དགེ་རྒན་	དགེ་རྒན་	OTHER
ཆེན་	ཆེན་	NO_POS
མོ་	མོ་	PRON
འི་	གི་	PART
མིང་	མིང་	NOUN
འཛིན་	འཛིན་	VERB
རྟ་མགྲིན་	རྟ་མགྲིན་	PROPN
རྒྱལ་	རྒྱལ་	VERB
ན་	ནས་	PART
སྦྱར་	སྦྱར་	VERB
།		PUNCT
མཚམས་	མཚམས་	NOUN
སྦྱོར་བ་	སྦྱོར་བ་	VERB
འི་	གི་	PART
གཏམ་	གཏམ་	NOUN
།		PUNCT
བོད་ལུགས་	བོད་ལུགས་	NOUN
གསོ་བ་	གསོ་བ་	VERB
རིག་པ་	རིག་པ་	VERB
འི་	གི་	PART
ཞིབ་འཇུག་	ཞིབ་འཇུག་	NOUN
སློབ་མ་	སློབ་མ་	NOUN
གདུགས་དཀར་	གདུགས་དཀར་	NO_POS
སྒྲོལ་མ་	སྒྲོལ་མ་	PROPN
ནི་	ནི་	NO_POS
ལོ་ན་	ལོ་ན་	OTHER
ཆུང་ངུ་	ཆུང་ངུ་	ADJ
འི་	གི་	PART
དུས་	དུས་	NOUN
ན་	ནས་	PART
བཟུང་	བཟུང་	NO_POS
རང་	རང་	PRON
རེ་	རེ་	DET
བོད་	བོད་	PROPN
ཀྱི་	གི་	PART
གསོ་བ་	གསོ་བ་	VERB
རིག་པ་	རིག་པ་	VERB
འི་	གི་	PART
གཞུང་ལུགས་	གཞུང་ལུགས་	NOUN
ལ་	ལ་	PART
སྤྲོ་	སྤྲོ་	NO_POS
འདུན་	འདུན་	VERB
ཧ་ཅང་	ཧ་ཅང་	ADV
ཆེ་	ཆེ་	VERB
ཞིང་	ཅིང་	PART
།		PUNCT
སློབ་གྲྭ་	སློབ་གྲྭ་	NOUN
ཆེ་	ཆེ་	VERB
འབྲིང་	འབྲིང་	NOUN
ཆུང་	ཆུང་	VERB
གསུམ་	གསུམ་	NUM
འགྲིམས་པ་	འགྲིམས་པ་	VERB
འི་	གི་	PART
ཁྲོད་	ཁྲོད་	NOUN
བོད་ལུགས་	བོད་ལུགས་	NOUN
གསོ་རིག་	གསོ་རིག་	NOUN
གི་	གི་	PART
དགེ་རྒན་	དགེ་རྒན་	OTHER
དུ་མ་	དུ་མ་	ADJ
འི་	གི་	PART
གསུང་	གསུང་	VERB
གི་	གི་	PART
བདུད་རྩི་	བདུད་རྩི་	NOUN
མྱངས་པ་	མྱངས་པ་	VERB
འི་	གི་	PART
སྐལ་བ་	སྐལ་བ་	NOUN
ཐོབ་	ཐོབ་	VERB
ཅིང་	ཅིང་	PART
།		PUNCT
ཁྱད་པར་	ཁྱད་པར་	NOUN
ནུ་	ནུ་	NO_POS
		
ལོ་	ལོ་	NOUN
འི་	གི་	PART
བོད་ལུགས་	བོད་ལུགས་	NOUN
གསོ་བ་	གསོ་བ་	VERB
རིག་པ་	རིག་པ་	VERB
འི་	གི་	PART
ཞིབ་འཇུག་	ཞིབ་འཇུག་	NOUN
སློབ་མ་	སློབ་མ་	NOUN
འི་	གི་	PART
མཐ་	མཐའ་	NOUN
ར་	ལ་	PART
ཕྱིན་	ཕྱིན་	VERB
དཔྱད་	དཔྱད་	VERB
རྩོམ་	རྩོམ་	VERB
འདི་	འདི་	DET
འི་	གི་	PART
ནང་	ནང་	NOUN
དུ་	ལ་	PART
རུས་པ་	རུས་པ་	NOUN
འི་	གི་	PART
གྲུབ་	གྲུབ་	VERB
ཚུལ་	ཚུལ་	NOUN
དང་རུ་	དང་རུ་	NO_POS
ཆག་	ཆག་	VERB
རུས་རིགས་	རུས་རིགས་	NO_POS
།		PUNCT
རུས་	རུས་	NOUN
གྲངས་	གྲངས་	NOUN
སོགས་	སོགས་	DET
གསལ་	གསལ་	VERB
བོ་	བོ་	VERB
བཀོད་	བཀོད་	VERB
ཡོད་	ཡོད་	VERB
ལ་	ལ་	PART
།		PUNCT
ལྷག་པ་		
དུ་	ལ་	PART
རུས་ཆག་	རུས་ཆག་	NO_POS
གི་	གི་	PART
བརྟག་	བརྟག་	VERB
ཐབས་	ཐབས་	NOUN
ལ་	ལ་	PART
བོད་ལུགས་	བོད་ལུགས་	NOUN
གསོ་རིག་	གསོ་རིག་	NOUN
གི་	གི་	PART
རེག་པ་	རེག་པ་	VERB
རྩ་	རྩ་	NUM
ལ་	ལ་	PART
བརྟག་པ་	བརྟག་པ་	VERB
།		PUNCT
མཐོང་བ་	མཐོང་བ་	VERB
ཆུ་	ཆུ་	NOUN
ལ་	ལ་	PART
བརྟག་པ་	བརྟག་པ་	VERB
།		PUNCT
མིག་	མིག་	NOUN
ལ་	ལ་	PART
བརྟག་པ་	བརྟག་པ་	VERB
།		PUNCT
རྨ་ཁ་	རྨ་ཁ་	NO_POS
འི་	གི་	PART
ཤ་ལ་	ཤ་ལ་	NO_POS
བརྟག་པ་	བརྟག་པ་	VERB
།		PUNCT
རུས་པ་	རུས་པ་	NOUN
འི་	གི་	PART
མདོག་	མདོག་	NOUN
ལ་	ལ་	PART
བརྟག་པ་	བརྟག་པ་	VERB
།		PUNCT
སྒྲ་	སྒྲ་	NOUN
དང་	དང་	NO_POS
ཤ་མདོག་	ཤ་མདོག་	NO_POS
ལ་	ལ་	PART
བརྟག་པ་	བརྟག་པ་	VERB
།		PUNCT
སྨིན་མ་	སྨིན་མ་	NOUN
ལ་	ལ་	PART
བརྟག་པ་	བརྟག་པ་	VERB
།		PUNCT
མིག་སྤྲིན་	མིག་སྤྲིན་	NO_POS
ལ་	ལ་	PART
		
བརྟག་པ་	བརྟག་པ་	VERB
།		PUNCT
ལྕེ་	ལྕེ་	NOUN
ལ་	ལ་	PART
བརྟག་པ་	བརྟག་པ་	VERB
།		PUNCT
འགྲོ་འདུག་	འགྲོ་འདུག་	NO_POS
ལ་	ལ་	PART
བརྟག་པ་	བརྟག་པ་	VERB
།		PUNCT
ཟ་	ཟ་	NOUN
དང་	དང་	NO_POS
དུས་	དུས་	NOUN
ལ་	ལ་	PART
བརྟག་པ་	བརྟག་པ་	VERB
།		PUNCT
བྱུག་པ་	བྱུག་པ་	NOUN
རྫ་	རྫ་	NOUN
ཀྱི་	གི་	PART
སྒོ་	སྒོ་	NOUN
ན་	ནས་	PART
བརྟག་པ་	བརྟག་པ་	VERB
སོགས་	སོགས་	DET
གསལ་	གསལ་	VERB
བོ་	བོ་	VERB
བཀོད་	བཀོད་	VERB
ཡོད་	ཡོད་	VERB
།		PUNCT
བཅོས་ཐབས་	བཅོས་ཐབས་	OTHER
ལ་	ལ་	PART
ཁོ་མོ་	ཁོ་མོ་	PRON
ས་	གིས་	PART
ཟླ་	ཟླ་	NOUN
གཉིས་	གཉིས་	NUM
ལྷག་	ལྷག་	NOUN
གི་	གི་	PART
རིང་	རིང་	NOUN
ལ་	ལ་	PART
བོད་	བོད་	PROPN
སྨན་	སྨན་	NOUN
རུས་	རུས་	NOUN
སྦྱོར་	སྦྱོར་	VERB
བརྒྱད་པ་	བརྒྱད་པ་	NUM
ས་	གིས་	PART
ཕྱི་	ཕྱི་	NOUN
ལུགས་	ལུགས་	NOUN
ལྟ་	ལྟ་	OTHER
སྲོག་ཆགས་	སྲོག་ཆགས་	NOUN
ལ་	ལ་	PART
ཚོད་	ཚོད་	NOUN
བལྟ་	བལྟ་	VERB
ཞིབ་འཇུག་	ཞིབ་འཇུག་	NOUN
བྱས་པ་	བྱས་པ་	VERB
ལེགས་	ལེགས་	VERB
འགྲུབ་	འགྲུབ་	VERB
བ་བྱུང་བ་	བ་བྱུང་བ་	NO_POS
		
༼		PUNCT
		
ཟིན་པ་	ཟིན་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
ཞིབ་འཇུག་	ཞིབ་འཇུག་	NOUN
ཁྲོད་	ཁྲོད་	NOUN
ཀྱི་	གི་	PART
ཚོད་	ཚོད་	NOUN
ལྟ་	ལྟ་	NOUN
འི་	གི་	PART
པར་རིས་	པར་རིས་	OTHER
དང་	དང་	NO_POS
བྱེད་ཐབས་	བྱེད་ཐབས་	OTHER
།		PUNCT
སྨན་	སྨན་	NOUN
རྫ་	རྫ་	NOUN
སོགས་	སོགས་	DET
གསལ་	གསལ་	VERB
བོ་	བོ་	VERB
ངོ་སྤྲོད་	ངོ་སྤྲོད་	NOUN
དང་	དང་	NO_POS
།		PUNCT
གཞན་	གཞན་	DET
ཡང་	ཀྱང་	PART
རུས་	རུས་	NOUN
གནད་	གནད་	NOUN
དང་རུ་	དང་རུ་	NO_POS
ཆག་	ཆག་	VERB
གི་	གི་	PART
འཐེན་	འཐེན་	NO_POS
སྒྲིག་	སྒྲིག་	VERB
དང་	དང་	NO_POS
བཅོས་ཐབས་	བཅོས་ཐབས་	OTHER
།		PUNCT
སྔགས་	སྔགས་	NOUN
ཀྱི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
དང་རུ་	དང་རུ་	NO_POS
ཆག་	ཆག་	VERB
འབྱོར་	འབྱོར་	VERB
རྟགས་	རྟགས་	NOUN
སོགས་	སོགས་	DET
ཞིབ་	ཞིབ་	NO_POS
གསལ་	གསལ་	VERB
ངོ་	ངོ་	NOUN
འཕྲོད་	འཕྲོད་	NO_POS
བྱུང་	བྱུང་	VERB
ཡོད་པ་	ཡོད་པ་	VERB
ས་	གིས་	PART
སློབ་	སློབ་	VERB
གྲྭའི་		NON_WORD
མགོ་	མགོ་	NOUN
ཁྲིད་	ཁྲིད་	VERB
དང་	དང་	NO_POS
དགེ་རྒན་	དགེ་རྒན་	OTHER
ཚོ་	ཚོ་	NOUN
གདེངས་	གདེངས་	NOUN
འཇོག་	འཇོག་	VERB
བྱེད་	བྱེད་	VERB
བཞིན་	བཞིན་	NOUN
ཡོད་པ་	ཡོད་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
དེ་	སྟེ་	PART
ནི་	ནི་	NO_POS
མཚོ་སྔོན་	མཚོ་སྔོན་	PROPN
